,type,entry_time,exit_time,entry_price,exit_price,qty,gross_pnl,commission,net_pnl,equity,peak,drawdown
0,Long,2017-01-04 11:25:00+00:00,2017-01-09 12:45:00+00:00,1.326310133989376e+17,1.3983680029219882e+17,3.769857344722702e-14,271.64788644067374,2.0543295772881347,269.59355686338563,10269.593556863385,10269.593556863385,0.0
1,Short,2017-01-09 12:45:00+00:00,2017-01-17 11:15:00+00:00,1.3983680029219882e+17,1.047087094466347e+17,3.6719924710106165e-14,1289.9008510588837,1.7959385411609001,1288.1049125177228,11557.698469381108,11557.698469381108,0.0
2,Long,2017-01-17 11:15:00+00:00,2017-01-30 11:15:00+00:00,1.047087094466347e+17,8.759501711474688e+16,5.518976659373089e-14,-944.5006853538111,2.1226395568054595,-946.6233249106166,10611.075144470491,11557.698469381108,-0.08190413752516827
3,Short,2017-01-30 11:15:00+00:00,2017-02-13 12:45:00+00:00,8.759501711474688e+16,7.993891149032981e+16,6.056894269779237e-14,463.7222228535635,2.0294705843233856,461.6927522692401,11072.767896739731,11557.698469381108,-0.04195736494822605
4,Long,2017-02-13 12:45:00+00:00,2017-02-14 12:00:00+00:00,7.993891149032981e+16,1.0673531553552794e+17,6.925768496409412e-14,1855.8569095329094,2.5857249612545283,1853.2711845716549,12926.039081311386,12926.039081311386,0.0
5,Short,2017-02-14 12:00:00+00:00,2017-03-20 11:15:00+00:00,1.0673531553552794e+17,4.422536109640122e+17,6.055183805124379e-14,-20316.24948801495,6.648457713865268,-20322.897945728815,-7396.858864417429,12926.039081311386,-1.5722448166748846
6,Long,2017-03-20 11:15:00+00:00,2017-03-31 15:00:00+00:00,4.422536109640122e+17,5.030522059476697e+17,-8.36268905560088e-15,-508.4397448657429,-1.5810597218566345,-506.85868514388625,-7903.717549561315,12926.039081311386,-1.6114570364396157
7,Short,2017-03-31 15:00:00+00:00,2017-05-02 12:00:00+00:00,5.030522059476697e+17,6.512205414078088e+17,-7.85576273805616e-15,1163.9752886675658,-1.813538567645776,1165.7888272352116,-6737.9287223261035,12926.039081311386,-1.5212678593915037
8,Long,2017-05-02 12:00:00+00:00,2017-05-10 11:15:00+00:00,6.512205414078088e+17,5.54393076784903e+17,-5.173307884115608e-15,500.91828613260367,-1.2474020872387,502.16568821984237,-6235.763034106261,12926.039081311386,-1.482418704978387
9,Short,2017-05-10 11:15:00+00:00,2017-06-28 12:00:00+00:00,5.54393076784903e+17,8.187547774384865e+17,-5.623954640874468e-15,1486.758213260188,-1.54450424947329,1488.3027175096613,-4747.4603165966,12926.039081311386,-1.3672788150130641
10,Long,2017-06-28 12:00:00+00:00,2017-07-04 11:15:00+00:00,8.187547774384865e+17,7.998393291456381e+17,-2.8991954901620583e-15,54.83958238501964,-0.9385241468423161,55.77810653186196,-4691.682210064738,12926.039081311386,-1.362963641108592
11,Short,2017-07-04 11:15:00+00:00,2017-07-28 09:45:00+00:00,7.998393291456381e+17,2.0914715180807488e+18,-2.9328904188021346e-15,3788.2156715442147,-1.6959795763217906,3789.9116511205366,-901.7705589442012,12926.039081311386,-1.069763873780019
12,Long,2017-07-28 09:45:00+00:00,2017-08-03 14:15:00+00:00,2.0914715180807488e+18,2.875098144410121e+18,-2.1558279688449124e-16,-168.9364198172442,-0.21414139575228908,-168.72227842149192,-1070.492837365693,12926.039081311386,-1.0828167724568791
13,Short,2017-08-03 14:15:00+00:00,2017-08-11 10:30:00+00:00,2.875098144410121e+18,1.8140504406771103e+18,-1.8616631217389696e-16,-197.53133804455624,-0.17459229986422736,-197.356745744692,-1267.849583110385,12926.039081311386,-1.0980849257173806
14,Long,2017-08-11 10:30:00+00:00,2017-08-17 10:30:00+00:00,1.8140504406771103e+18,1.95456252918146e+18,-3.49452681877233e-16,-49.10232616401613,-0.2633903818548803,-48.83893578216124,-1316.6885188925464,12926.039081311386,-1.1018632630313048
15,Short,2017-08-17 10:30:00+00:00,2017-08-29 12:00:00+00:00,1.95456252918146e+18,1.648317754448963e+18,-3.368243530801634e-16,-103.15069813345363,-0.24270756415181857,-102.90799056930182,-1419.5965094618482,12926.039081311386,-1.1098245565042673
16,Long,2017-08-29 12:00:00+00:00,2017-09-05 12:00:00+00:00,1.648317754448963e+18,2.3779011852373064e+18,-4.306197957372676e-16,-314.1730679393713,-0.3467539154802439,-313.8263140238911,-1733.4228234857392,12926.039081311386,-1.1341031705522182
17,Short,2017-09-05 12:00:00+00:00,2017-09-27 13:30:00+00:00,2.3779011852373064e+18,2.100478717337587e+18,-3.6448588239228063e-16,-101.11657300787338,-0.32646125009557314,-100.79011175777781,-1834.212935243517,12926.039081311386,-1.1419006181015994
18,Long,2017-09-27 13:30:00+00:00,2017-10-10 12:00:00+00:00,2.100478717337587e+18,3.3434725057657047e+18,-4.3661783385466313e-16,-542.7132553982863,-0.47538523812836064,-542.2378701601579,-2376.450805403675,12926.039081311386,-1.183849885525998
19,Short,2017-10-10 12:00:00+00:00,2017-11-06 10:30:00+00:00,3.3434725057657047e+18,8.265008081621798e+18,-3.5538662293552085e-16,1749.047907960521,-0.8250997426728391,1749.8730077031937,-626.5777977004814,12926.039081311386,-1.0484740757597117
20,Long,2017-11-06 10:30:00+00:00,2017-11-21 10:30:00+00:00,8.265008081621798e+18,8.113684495279011e+18,-3.7905455839405024e-17,5.735989519576909,-0.12416836163618089,5.860157881213089,-620.7176398192682,12926.039081311386,-1.0480207150786591
21,Short,2017-11-21 10:30:00+00:00,2017-11-30 12:00:00+00:00,8.113684495279011e+18,7.919132509768516e+18,-3.825128030184289e-17,-7.44186253104203,-0.12265515545764524,-7.319207375584385,-628.0368471948526,12926.039081311386,-1.0485869525261513
22,Long,2017-11-30 12:00:00+00:00,2017-12-15 10:30:00+00:00,7.919132509768516e+18,7.803837720453081e+18,-3.965313412928424e-17,4.571799745132491,-0.12469300948994402,4.696492754622435,-623.3403544402302,12926.039081311386,-1.0482236167258276
23,Short (End),2017-12-15 10:30:00+00:00,2017-12-29 15:29:00+00:00,7.803837720453081e+18,7.256201764855926e+18,-3.993806488354552e-17,-21.87152032720164,-0.1202937668226057,-21.751226560379035,-645.0915810006092,12926.039081311386,-1.0499063616427782
